,date,protocol,chain,usd_value,name,category,parentProtocol,net_dollar_flow,cumul_net_dollar_flow,rank_desc,pct_of_tvl,flow_direction,abs_cumul_net_dollar_flow
12532,2022-09-12 17:59:02,curve,Arbitrum,80213508.64529,Curve,Dexes,Curve,-1827789.8160545728,-2677195.6873088265,1,-2.27865586099368,-1,2677195.6873088265
13634,2022-09-12 17:59:07,terra-bridge,Ethereum,161877776.51783,Terra Bridge,Bridge,Terra Bridge,-137082.44127902837,-2768265.2550606676,1,-0.0846826811115295,-1,2768265.2550606676
13225,2022-09-12 17:59:07,harvest-finance,Ethereum,24538376.71094,Harvest Finance,Yield Aggregator,Harvest Finance,-150245.68772000074,-3004928.600622068,1,-0.6122886183136,-1,3004928.600622068
12708,2022-09-12 17:59:02,nereus-finance,Avalanche,11640839.27775,Nereus Finance,Lending,Nereus Finance,-626243.2541146189,-3066515.6385846557,1,-5.3797087922311935,-1,3066515.6385846557
12808,2022-09-12 17:59:02,shell-protocol,Ethereum,2025019.3062,Shell Protocol,Dexes,Shell Protocol,-728176.7173450938,-3069645.849242777,1,-35.95900123597023,-1,3069645.849242777
12950,2022-09-12 17:59:07,angle,Ethereum,75103609.40384,Angle,CDP,Angle,1088.630403913519,-3630666.4121712344,1,0.001449504774211102,-1,3630666.4121712344
13597,2022-09-12 17:59:07,stargate,Polygon,58770452.740219995,Stargate,Cross Chain,Stargate,-43549.37026563735,-3808946.0273961006,1,-0.0741007908483135,-1,3808946.0273961006
13048,2022-09-12 17:59:07,cbridge,Binance,12577141.82196,cBridge,Bridge,cBridge,-980100.0263167077,-3827818.012676033,1,-7.792708710697918,-1,3827818.012676033
13688,2022-09-12 17:59:07,unicrypt,Binance,149469903.92348,UniCrypt,Services,UniCrypt,3157500.2370082634,-3956348.8512588833,1,2.112465556025728,-1,3956348.8512588833
12860,2022-09-12 17:59:02,the-tokenized-bitcoin,Ethereum,18011277.1031,The Tokenized Bitcoin,Services,The Tokenized Bitcoin,275463.50492817885,-4253109.103430128,1,1.5293946306604078,-1,4253109.103430128
12481,2022-09-12 17:59:02,bancor-v3,Ethereum,85873823.90845999,Bancor V3,Dexes,Bancor,-74557.62473009837,-4321966.680738512,1,-0.08682229500991537,-1,4321966.680738512
12703,2022-09-12 17:59:02,morpho,Ethereum,42647223.45392,Morpho,Lending,Morpho,-63937.390009203256,-4415253.685438961,1,-0.14992157714156262,-1,4415253.685438961
12448,2022-09-12 17:59:02,alchemix,Ethereum,71587446.11484,Alchemix,Synthetics,Alchemix,43513.967547048516,-4442171.049238012,1,0.06078435523072546,-1,4442171.049238012
13047,2022-09-12 17:59:07,cbridge,Avalanche,9327465.199730001,cBridge,Bridge,cBridge,-993342.2835185608,-4514816.479186565,1,-10.64964877646839,-1,4514816.479186565
12929,2022-09-12 17:59:07,aave-v2,Avalanche,107650266.00464,AAVE V2,Lending,AAVE,-3049262.0331271514,-4540165.643612492,1,-2.8325633983995178,-1,4540165.643612492
12641,2022-09-12 17:59:02,interest-protocol,Ethereum,4794688.88521,Interest Protocol,CDP,Interest Protocol,3.3480206415851343,-4793649.601681741,1,6.982769313589146e-05,-1,4793649.601681741
12826,2022-09-12 17:59:02,spool-protocol,Ethereum,45515739.39341,Spool Protocol,Yield Aggregator,Spool Protocol,101390.52042532718,-5024196.664859425,1,0.2227592515832161,-1,5024196.664859425
12644,2022-09-12 17:59:02,iron-bank,Optimism,9180040.808659999,Iron Bank,Lending,Iron Bank,-2321896.3083451963,-5418727.0616423655,1,-25.29287567169455,-1,5418727.0616423655
12786,2022-09-12 17:59:02,rari-capital,Ethereum,31837009.681210004,Rari Capital,Yield Aggregator,Rari Capital,-284587.54270346026,-5540730.405776681,1,-0.8938890478505649,-1,5540730.405776681
13295,2022-09-12 17:59:07,kyberswap,Polygon,10037565.05285,KyberSwap,Dexes,KyberSwap,-200347.92345493197,-5612439.766643927,1,-1.9959813201713348,-1,5612439.766643927
13075,2022-09-12 17:59:07,concave,Ethereum,536132.4365999999,Concave,Services,Concave,-9.962880796725358,-5680810.301643358,1,-0.001858287265718733,-1,5680810.301643358
12931,2022-09-12 17:59:07,aave-v2,Polygon,306052796.39607,AAVE V2,Lending,AAVE,-6414012.556106468,-5720012.261808587,1,-2.0957209447633818,-1,5720012.261808587
13714,2022-09-12 17:59:07,vesper,Ethereum,22072726.80641,Vesper,Yield Aggregator,Vesper,690.1877128622104,-5732593.048756372,1,0.0031268801490433773,-1,5732593.048756372
13419,2022-09-12 17:59:07,orbit-bridge,Ethereum,251721899.78438,Orbit Bridge,Bridge,Orbit Bridge,-177484.840180652,-5809230.396070008,1,-0.07050830314433588,-1,5809230.396070008
13209,2022-09-12 17:59:07,gmx,Avalanche,75110272.93749,GMX,Derivatives,GMX,859810.2265663686,-6035364.725791366,1,1.1447305314440006,-1,6035364.725791366
13262,2022-09-12 17:59:07,izumi-finance,Ethereum,2733616.49792,iZUMi Finance,Yield,iZUMi Finance,38.118633830914405,-6240117.768000401,1,0.0013944397050544123,-1,6240117.768000401
12811,2022-09-12 17:59:02,shibaswap,Ethereum,46444065.01882,ShibaSwap,Dexes,ShibaSwap,-2033114.0389780514,-6322243.435303708,1,-4.377554027956416,-1,6322243.435303708
13783,2022-09-12 18:15:25,velodrome,Optimism,63276916.066369995,Velodrome,Dexes,Velodrome,-208748.57152581256,-6444236.489860668,1,-0.32989687946685015,-1,6444236.489860668
13656,2022-09-12 17:59:07,tokemak,Ethereum,49609461.91447,Tokemak,Yield,Tokemak,-3524.270925169041,-6483088.958309274,1,-0.007104029733773605,-1,6483088.958309274
13608,2022-09-12 17:59:07,sushiswap,Arbitrum,90241460.11548,SushiSwap,Dexes,SushiSwap,-1834709.4933831447,-6922107.017871261,1,-2.0331114889268274,-1,6922107.017871261
13592,2022-09-12 17:59:07,stargate,Arbitrum,99637419.69279,Stargate,Cross Chain,Stargate,2530849.861928159,-7046073.65685004,1,2.5400596178940362,-1,7046073.65685004
12517,2022-09-12 17:59:02,cone,Binance,12166194.473900001,Cone,Dexes,Cone,-136067.97771720798,-7332744.2300721025,1,-1.1184103460544959,-1,7332744.2300721025
12848,2022-09-12 17:59:02,synapse,Ethereum,94369810.58416,Synapse,Cross Chain,Synapse,-74562.31385562994,-7878706.570209126,1,-0.07901076985752183,-1,7878706.570209126
12536,2022-09-12 17:59:02,curve,Polygon,95222144.34886,Curve,Dexes,Curve,-5291654.04453219,-8297356.712276398,1,-5.557167485270502,-1,8297356.712276398
12566,2022-09-12 17:59:02,dydx,Ethereum,473369106.57775,dYdX,Derivatives,dYdX,-2945194.9534682785,-8752090.734729132,1,-0.6221772634806567,-1,8752090.734729132
13518,2022-09-12 17:59:07,renvm,Ethereum,101845194.22644998,RenVM,Bridge,RenVM,1649699.9937228777,-9116852.553875547,1,1.6198113286080198,-1,9116852.553875547
13236,2022-09-12 17:59:07,homora,Ethereum,24297496.06718,Homora,Yield,Homora,111309.82826078658,-9252522.373785865,1,0.45811234191797673,-1,9252522.373785865
12690,2022-09-12 17:59:02,meshswap,Polygon,44760831.36445,Meshswap,Dexes,Meshswap,-2388915.1431099996,-9344265.685586989,1,-5.33706606934769,-1,9344265.685586989
12718,2022-09-12 17:59:02,olympus-dao,Ethereum,261554167.57507,Olympus DAO,Reserve Currency,Olympus DAO,-271598.5794799924,-9559598.928014174,1,-0.1038402798158586,-1,9559598.928014174
12699,2022-09-12 17:59:02,mm-optimizer-polygon,Polygon,6538594.76726,MM Optimizer Polygon,Yield Aggregator,MM Finance,-332183.78428000025,-10426036.188748982,1,-5.080354359063636,-1,10426036.188748982
12792,2022-09-12 17:59:02,ribbon-finance,Ethereum,76339536.11306,Ribbon Finance,Options,Ribbon Finance,-164808.52655435583,-10435792.356143298,1,-0.21588882372860102,-1,10435792.356143298
12487,2022-09-12 17:59:02,benddao,Ethereum,75408207.18588,BendDAO,NFT Lending,BendDAO,-3861041.4322492094,-11881451.578281522,1,-5.120187279790123,-1,11881451.578281522
13594,2022-09-12 17:59:07,stargate,Binance,59428909.75017001,Stargate,Cross Chain,Stargate,-276337.5017508464,-12207633.380957263,1,-0.46498834138557604,-1,12207633.380957263
12869,2022-09-12 17:59:02,tranchess,Binance,85768981.19332,Tranchess,Yield,Tranchess,25319.385845362376,-12640202.652614594,1,0.029520446078627714,-1,12640202.652614594
13495,2022-09-12 17:59:07,quickswap,Polygon,276693746.87097,Quickswap,Dexes,Quickswap,1942507.3800700307,-12703299.512653839,1,0.7020423851413874,-1,12703299.512653839
13666,2022-09-12 17:59:07,tornado-cash,Ethereum,189059733.37094,Tornado Cash,Privacy,Tornado Cash,-2283556.3690000097,-13167703.39100001,1,-1.2078491428524412,-1,13167703.39100001
