,date,token,token_value,usd_value,protocol,chain,last_token_value
2802,2022-10-14 00:00:00,UNI,,,uniswap,Optimism,
17778,2022-10-14 00:00:00,BOB,,,uniswap,Optimism,
18714,2022-10-14 00:00:00,LUSD,,,uniswap,Optimism,
17310,2022-10-14 00:00:00,AAVE,,,uniswap,Optimism,
16374,2022-10-14 00:00:00,CRV,,,uniswap,Optimism,
9354,2022-10-14 00:00:00,SARCO,,,uniswap,Optimism,
3738,2022-10-14 00:00:00,SUSD,,,uniswap,Optimism,
6078,2022-10-14 00:00:00,RAI,,,uniswap,Optimism,
10758,2022-10-14 00:00:00,WPC,,,uniswap,Optimism,
1398,2022-10-14 00:00:00,0XBTC,,,uniswap,Optimism,
930,2022-10-14 00:00:00,SETH,,,uniswap,Optimism,
14502,2022-10-14 00:00:00,HND,,,uniswap,Optimism,
12630,2022-10-14 00:00:00,SPANK,,,uniswap,Optimism,
8886,2022-10-14 00:00:00,BITANT,,,uniswap,Optimism,
7482,2022-10-14 00:00:00,RETH,,,uniswap,Optimism,
4206,2022-10-14 00:00:00,SLINK,,,uniswap,Optimism,
8418,2022-10-14 00:00:00,ENS,,,uniswap,Optimism,
462,2022-10-14 00:00:00,USDT,52258276.02856,52310534.30459,uniswap,Optimism,53212572.82342
14970,2022-10-14 00:00:00,THALES,,,uniswap,Optimism,
5142,2022-10-14 00:00:00,LINK,,,uniswap,Optimism,
7014,2022-10-14 00:00:00,RGT,,,uniswap,Optimism,
1866,2022-10-14 00:00:00,WETH,,,uniswap,Optimism,
7950,2022-10-14 00:00:00,PAPER,,,uniswap,Optimism,
10290,2022-10-14 00:00:00,DCN,,,uniswap,Optimism,
15438,2022-10-14 00:00:00,EQZ,,,uniswap,Optimism,
11694,2022-10-14 00:00:00,MKR,,,uniswap,Optimism,
4674,2022-10-14 00:00:00,SBTC,,,uniswap,Optimism,
3270,2022-10-14 00:00:00,WBTC,,,uniswap,Optimism,
9822,2022-10-14 00:00:00,LYRA,,,uniswap,Optimism,
5610,2022-10-14 00:00:00,USDC,,,uniswap,Optimism,
11226,2022-10-14 00:00:00,KROM,,,uniswap,Optimism,
17777,2022-10-13 00:00:00,BOB,,,uniswap,Optimism,
1397,2022-10-13 00:00:00,0XBTC,,,uniswap,Optimism,
2333,2022-10-13 00:00:00,DAI,,,uniswap,Optimism,
17309,2022-10-13 00:00:00,AAVE,,,uniswap,Optimism,
6077,2022-10-13 00:00:00,RAI,,,uniswap,Optimism,
12629,2022-10-13 00:00:00,SPANK,,,uniswap,Optimism,
3269,2022-10-13 00:00:00,WBTC,,,uniswap,Optimism,
4205,2022-10-13 00:00:00,SLINK,,,uniswap,Optimism,
7949,2022-10-13 00:00:00,PAPER,,,uniswap,Optimism,
13097,2022-10-13 00:00:00,DHT,,,uniswap,Optimism,
6545,2022-10-13 00:00:00,SNX,,,uniswap,Optimism,
10757,2022-10-13 00:00:00,WPC,,,uniswap,Optimism,
13565,2022-10-13 00:00:00,EST,,,uniswap,Optimism,
14969,2022-10-13 00:00:00,THALES,,,uniswap,Optimism,
12161,2022-10-13 00:00:00,PERP,,,uniswap,Optimism,
8417,2022-10-13 00:00:00,ENS,,,uniswap,Optimism,
18713,2022-10-13 00:00:00,LUSD,,,uniswap,Optimism,
7481,2022-10-13 00:00:00,RETH,,,uniswap,Optimism,
461,2022-10-13 00:00:00,USDT,53212572.82342,53203847.39245,uniswap,Optimism,52945200.16356
5141,2022-10-13 00:00:00,LINK,,,uniswap,Optimism,
7013,2022-10-13 00:00:00,RGT,,,uniswap,Optimism,
15437,2022-10-13 00:00:00,EQZ,,,uniswap,Optimism,
9353,2022-10-13 00:00:00,SARCO,,,uniswap,Optimism,
11225,2022-10-13 00:00:00,KROM,,,uniswap,Optimism,
18245,2022-10-13 00:00:00,AELIN,,,uniswap,Optimism,
15905,2022-10-13 00:00:00,OP,,,uniswap,Optimism,
16373,2022-10-13 00:00:00,CRV,,,uniswap,Optimism,
3737,2022-10-13 00:00:00,SUSD,,,uniswap,Optimism,
2801,2022-10-13 00:00:00,UNI,,,uniswap,Optimism,
4673,2022-10-13 00:00:00,SBTC,,,uniswap,Optimism,
929,2022-10-13 00:00:00,SETH,,,uniswap,Optimism,
1865,2022-10-13 00:00:00,WETH,,,uniswap,Optimism,
14501,2022-10-13 00:00:00,HND,,,uniswap,Optimism,
10289,2022-10-13 00:00:00,DCN,,,uniswap,Optimism,
14033,2022-10-13 00:00:00,XCHF,,,uniswap,Optimism,
16841,2022-10-13 00:00:00,WSTETH,,,uniswap,Optimism,
11693,2022-10-13 00:00:00,MKR,,,uniswap,Optimism,
9821,2022-10-13 00:00:00,LYRA,,,uniswap,Optimism,
8885,2022-10-13 00:00:00,BITANT,,,uniswap,Optimism,
5609,2022-10-13 00:00:00,USDC,,,uniswap,Optimism,
18244,2022-10-12 00:00:00,AELIN,,,uniswap,Optimism,
17776,2022-10-12 00:00:00,BOB,,,uniswap,Optimism,
12160,2022-10-12 00:00:00,PERP,,,uniswap,Optimism,
10288,2022-10-12 00:00:00,DCN,,,uniswap,Optimism,
1864,2022-10-12 00:00:00,WETH,,,uniswap,Optimism,
18712,2022-10-12 00:00:00,LUSD,,,uniswap,Optimism,
7480,2022-10-12 00:00:00,RETH,,,uniswap,Optimism,
4204,2022-10-12 00:00:00,SLINK,,,uniswap,Optimism,
3268,2022-10-12 00:00:00,WBTC,,,uniswap,Optimism,
8416,2022-10-12 00:00:00,ENS,,,uniswap,Optimism,
12628,2022-10-12 00:00:00,SPANK,,,uniswap,Optimism,
6544,2022-10-12 00:00:00,SNX,,,uniswap,Optimism,
7012,2022-10-12 00:00:00,RGT,,,uniswap,Optimism,
11692,2022-10-12 00:00:00,MKR,,,uniswap,Optimism,
11224,2022-10-12 00:00:00,KROM,,,uniswap,Optimism,
16372,2022-10-12 00:00:00,CRV,,,uniswap,Optimism,
14500,2022-10-12 00:00:00,HND,,,uniswap,Optimism,
15436,2022-10-12 00:00:00,EQZ,,,uniswap,Optimism,
16840,2022-10-12 00:00:00,WSTETH,,,uniswap,Optimism,
9820,2022-10-12 00:00:00,LYRA,,,uniswap,Optimism,
10756,2022-10-12 00:00:00,WPC,,,uniswap,Optimism,
5608,2022-10-12 00:00:00,USDC,,,uniswap,Optimism,
6076,2022-10-12 00:00:00,RAI,,,uniswap,Optimism,
8884,2022-10-12 00:00:00,BITANT,,,uniswap,Optimism,
13564,2022-10-12 00:00:00,EST,,,uniswap,Optimism,
14968,2022-10-12 00:00:00,THALES,,,uniswap,Optimism,
4672,2022-10-12 00:00:00,SBTC,,,uniswap,Optimism,
2332,2022-10-12 00:00:00,DAI,,,uniswap,Optimism,
928,2022-10-12 00:00:00,SETH,,,uniswap,Optimism,
5140,2022-10-12 00:00:00,LINK,,,uniswap,Optimism,
7948,2022-10-12 00:00:00,PAPER,,,uniswap,Optimism,
460,2022-10-12 00:00:00,USDT,52945200.16356,52936252.42474,uniswap,Optimism,52695825.23466
14032,2022-10-12 00:00:00,XCHF,,,uniswap,Optimism,
9352,2022-10-12 00:00:00,SARCO,,,uniswap,Optimism,
2800,2022-10-12 00:00:00,UNI,,,uniswap,Optimism,
13096,2022-10-12 00:00:00,DHT,,,uniswap,Optimism,
17308,2022-10-12 00:00:00,AAVE,,,uniswap,Optimism,
3736,2022-10-12 00:00:00,SUSD,,,uniswap,Optimism,
1396,2022-10-12 00:00:00,0XBTC,,,uniswap,Optimism,
15904,2022-10-12 00:00:00,OP,,,uniswap,Optimism,
1863,2022-10-11 00:00:00,WETH,,,uniswap,Optimism,
16839,2022-10-11 00:00:00,WSTETH,,,uniswap,Optimism,
14499,2022-10-11 00:00:00,HND,,,uniswap,Optimism,
11691,2022-10-11 00:00:00,MKR,,,uniswap,Optimism,
4203,2022-10-11 00:00:00,SLINK,,,uniswap,Optimism,
3735,2022-10-11 00:00:00,SUSD,,,uniswap,Optimism,
5607,2022-10-11 00:00:00,USDC,,,uniswap,Optimism,
9819,2022-10-11 00:00:00,LYRA,,,uniswap,Optimism,
18711,2022-10-11 00:00:00,LUSD,,,uniswap,Optimism,
14967,2022-10-11 00:00:00,THALES,,,uniswap,Optimism,
15435,2022-10-11 00:00:00,EQZ,,,uniswap,Optimism,
15903,2022-10-11 00:00:00,OP,,,uniswap,Optimism,
7479,2022-10-11 00:00:00,RETH,,,uniswap,Optimism,
11223,2022-10-11 00:00:00,KROM,,,uniswap,Optimism,
927,2022-10-11 00:00:00,SETH,,,uniswap,Optimism,
8415,2022-10-11 00:00:00,ENS,,,uniswap,Optimism,
459,2022-10-11 00:00:00,USDT,52695825.23466,52695825.23466,uniswap,Optimism,56367392.56832
14031,2022-10-11 00:00:00,XCHF,,,uniswap,Optimism,
7011,2022-10-11 00:00:00,RGT,,,uniswap,Optimism,
9351,2022-10-11 00:00:00,SARCO,,,uniswap,Optimism,
5139,2022-10-11 00:00:00,LINK,,,uniswap,Optimism,
18243,2022-10-11 00:00:00,AELIN,,,uniswap,Optimism,
10755,2022-10-11 00:00:00,WPC,,,uniswap,Optimism,
6543,2022-10-11 00:00:00,SNX,,,uniswap,Optimism,
1395,2022-10-11 00:00:00,0XBTC,,,uniswap,Optimism,
16371,2022-10-11 00:00:00,CRV,,,uniswap,Optimism,
8883,2022-10-11 00:00:00,BITANT,,,uniswap,Optimism,
13563,2022-10-11 00:00:00,EST,,,uniswap,Optimism,
12159,2022-10-11 00:00:00,PERP,,,uniswap,Optimism,
7947,2022-10-11 00:00:00,PAPER,,,uniswap,Optimism,
2331,2022-10-11 00:00:00,DAI,,,uniswap,Optimism,
17775,2022-10-11 00:00:00,BOB,,,uniswap,Optimism,
3267,2022-10-11 00:00:00,WBTC,,,uniswap,Optimism,
12627,2022-10-11 00:00:00,SPANK,,,uniswap,Optimism,
4671,2022-10-11 00:00:00,SBTC,,,uniswap,Optimism,
10287,2022-10-11 00:00:00,DCN,,,uniswap,Optimism,
6075,2022-10-11 00:00:00,RAI,,,uniswap,Optimism,
17307,2022-10-11 00:00:00,AAVE,,,uniswap,Optimism,
13095,2022-10-11 00:00:00,DHT,,,uniswap,Optimism,
2799,2022-10-11 00:00:00,UNI,,,uniswap,Optimism,
