,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
272473,2023-01-06 00:00:00,saddle-finance,Fantom,242.11353,0.10378450146698981,0.10378450146698981,1,1,-6265348.285608187,-1,6265348.285608187,0.10378450146698981,1,0.10378450146698981,0.20961475388941864,1,0.20961475388941864,1.2260150326593888,1,1.2260150326593888,-49.76010313733076,-1,49.76010313733076,-3014722.166884133,-1,3014722.166884133,-6265348.285608187,-1,6265348.285608187,0.042866047786338006
272474,2023-01-06 00:00:00,saddle-finance,Kava,18.85019,0.0,0.0,1,1,18.70008993501739,1,18.70008993501739,0.0,1,0.0,0.00045806823742111646,1,0.00045806823742111646,0.01024242599027092,1,0.01024242599027092,18.650039870046346,1,18.650039870046346,18.70008993501739,1,18.70008993501739,18.70008993501739,1,18.70008993501739,0.0
272475,2023-01-06 00:00:00,saddle-finance,Optimism,638097.01505,-6285.614097829546,-6285.614097829546,1,1,593162.7839482913,1,593162.7839482913,-6285.614097829546,-1,6285.614097829546,-4305.1847300271575,-1,4305.1847300271575,-663555.0990839512,-1,663555.0990839512,-3021992.369858993,-1,3021992.369858993,635220.3980132625,1,635220.3980132625,593162.7839482913,1,593162.7839482913,-0.985056182614648
272476,2023-01-06 00:00:00,sashimiswap,Binance,282857.71716,0.0,0.0,1,1,-8416.719607720554,-1,8416.719607720554,0.0,1,0.0,-0.027125322628165804,-1,0.027125322628165804,1624.9975245482012,1,1624.9975245482012,1606.0962754797135,1,1606.0962754797135,2488.7358618698345,1,2488.7358618698345,-8243.136262205226,-1,8243.136262205226,0.0
272478,2023-01-06 00:00:00,sashimiswap,Ethereum,15995997.95522,0.0,0.0,1,1,11356197.285833353,1,11356197.285833353,0.0,1,0.0,-33.776892318943844,-1,33.776892318943844,9287324.950107137,1,9287324.950107137,9287954.819210654,1,9287954.819210654,9276608.33469002,1,9276608.33469002,14649676.802872216,1,14649676.802872216,0.0
272481,2023-01-06 00:00:00,sashimiswap,Heco,679124.56414,0.0,0.0,1,1,672821.4035483154,1,672821.4035483154,0.0,1,0.0,-0.0044833477552395085,-1,0.0044833477552395085,-1.8145618602209497,-1,1.8145618602209497,-3035.1771782068404,-1,3035.1771782068404,-2402.161871341017,-1,2402.161871341017,672895.7655579444,1,672895.7655579444,0.0
272485,2023-01-06 00:00:00,scream,Fantom,11652360.85086,-56.307636331738784,-56.307636331738784,1,1,-121531667.79893868,-1,121531667.79893868,-56.307636331738784,-1,56.307636331738784,-1082.880953111708,-1,1082.880953111708,73617.61400108937,1,73617.61400108937,72237.44873019373,1,72237.44873019373,-32490.435224670295,-1,32490.435224670295,-144453945.23072687,-1,144453945.23072687,-0.00048322942494166763
272490,2023-01-06 00:00:00,set-protocol,Ethereum,63237143.72875999,-29950.744622087772,-29950.744622087772,1,1,-5982747.934510072,-1,5982747.934510072,-29950.744622087772,-1,29950.744622087772,-322830.7812316103,-1,322830.7812316103,-425685.16388728697,-1,425685.16388728697,-4330524.340380893,-1,4330524.340380893,-5216588.344507759,-1,5216588.344507759,-5982747.934510072,-1,5982747.934510072,-0.04736258289993939
272491,2023-01-06 00:00:00,sharedstake,Ethereum,20081848.2972,0.0,0.0,1,1,-17.245348800019176,-1,17.245348800019176,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,-7.518168800393912,-1,7.518168800393912,-7.51816880039388,-1,7.51816880039388,-16.856261600673413,-1,16.856261600673413,0.0
272494,2023-01-06 00:00:00,shell-protocol,Arbitrum,16093253.987890001,-58181.788769609026,-58181.788769609026,1,1,15280982.247098623,1,15280982.247098623,-58181.788769609026,-1,58181.788769609026,-283349.524960568,-1,283349.524960568,453957.3180872931,1,453957.3180872931,13567015.816688051,1,13567015.816688051,15280982.247098623,1,15280982.247098623,15280982.247098623,1,15280982.247098623,-0.36152905318831224
