,date,native_fees,price_usd,fees_usd
90,2022-10-10,88707.43480738655,0.10386287541348128,9213.409249649103
91,2022-10-11,83382.12570217012,0.1019801177357047,8503.318996160637
92,2022-10-12,78302.60781478809,0.10221890030478156,8004.006461824233
93,2022-10-13,92059.28510029134,0.10342380635560366,9521.121675447841
94,2022-10-14,84848.97347311556,0.10357691954276957,8788.39529871148
95,2022-10-15,87585.4580202344,0.10408114447767691,9115.994710347522
96,2022-10-16,93308.0213324834,0.1047979238316109,9778.48691247992
97,2022-10-17,107156.55016670763,0.109788106208684,11764.514710658672
98,2022-10-18,82837.21998729598,0.10849220293283303,8987.192481253447
99,2022-10-19,72766.7675337602,0.1055230080530994,7678.568196462989
100,2022-10-20,79159.9573044495,0.10374634010001926,8212.555852810423
101,2022-10-21,96843.93458577391,0.10604594951092315,10269.906997522125
102,2022-10-22,97773.22378418369,0.10559869719734638,10324.725052394399
103,2022-10-23,86000.4695048828,0.10778987595270206,9269.979939805453
104,2022-10-24,80424.47850080195,0.10541606531008679,8478.03207817021
105,2022-10-25,81262.09990554067,0.10841955640871503,8810.400824599403
106,2022-10-26,89772.51248759341,0.11234355427425564,10085.363128986242
107,2022-10-27,80271.92223547821,0.10995465619281675,8826.271611338529
108,2022-10-28,104989.79443704551,0.11220685194879841,11780.574320532345
109,2022-10-29,91413.23377639712,0.11047331907104016,10098.723342295503
110,2022-10-30,85685.97571143038,0.11401121393422377,9769.16210799859
111,2022-10-31,88713.4395337239,0.11444160923761432,10152.508781243156
112,2022-11-01,85256.91541664717,0.11199191356319517,9548.08510200579
113,2022-11-02,87997.62423897769,0.1094564335304835,9631.906108354126
114,2022-11-03,93005.46980242603,0.1105376651311938,10280.607476389925
115,2022-11-04,97278.86439566685,0.11702318785140464,11383.88282214544
116,2022-11-05,93826.46276331619,0.12125399446298803,11376.833396384893
117,2022-11-06,104925.00825392327,0.11838036219372061,12421.060480278562
118,2022-11-07,94810.01641833894,0.12489953187631725,11841.726667836487
119,2022-11-08,128139.74637871809,0.10341685394646519,13251.80943598498
