,date,prices,total_volumes,symbol,prices_30dma,prices_30d_vwap,prices_90dma,prices_90d_vwap,prices_180dma,prices_180d_vwap,prices_365dma,prices_365d_vwap
164,2022-11-11 00:00:00,1.0475859620170167,275407057.7449038,op,0.9432430397462621,1.0486313899763826,1.039653976423727,1.1176624511243702,0.9940236232043638,1.2019001756257186,0.9940236232043638,1.2019001756257186
163,2022-11-10 00:00:00,0.7855562468899598,269783618.96805924,op,0.9330138024215023,1.0449243233105516,1.0462608339976818,1.1284251021464984,0.9936970235774575,1.2034111347504917,0.9936970235774575,1.2034111347504917
162,2022-11-09 00:00:00,0.9653176536836483,432412349.7452167,op,0.9320745977920324,1.0575410466408564,1.0549235746458894,1.1455642271366027,0.9949739608577488,1.2074578107301077,0.9949739608577488,1.2074578107301077
161,2022-11-08 00:00:00,1.3164652999983923,213551143.3705567,op,0.9280316938301447,1.0657648126018715,1.0615316161772945,1.1632244125929105,0.9951570244822803,1.2112756389568569,0.9951570244822803,1.2112756389568569
160,2022-11-07 00:00:00,1.2864657565604403,187934122.03611708,op,0.9119959639343314,1.0502991642042152,1.0650189997316055,1.1709374372493124,0.9931613209076461,1.2104501307640259,0.9931613209076461,1.2104501307640259
159,2022-11-06 00:00:00,1.3103096849932554,272824818.8353159,op,0.8972912103756822,1.036145504115887,1.0718194025415837,1.1833154327148558,0.9913281681848162,1.209921484989752,0.9913281681848162,1.209921484989752
158,2022-11-05 00:00:00,1.3500192860813953,410098358.6933276,op,0.8819613921029011,1.0118756589325684,1.0785148849162647,1.1907916603060085,0.9893219951231278,1.208897650819308,0.9893219951231278,1.208897650819308
157,2022-11-04 00:00:00,1.1164783078450187,198356445.4886777,op,0.8656633878291692,0.966443734491549,1.0848379055400525,1.2010644704009417,0.9870391008765563,1.2067005289766521,0.9870391008765563,1.2067005289766521
156,2022-11-03 00:00:00,1.0302466162220074,153336898.32178017,op,0.8575344795014487,0.9548712064416841,1.0938554921535575,1.2256911459965316,0.9862146473289867,1.2073850946764926,0.9862146473289867,1.2073850946764926
155,2022-11-02 00:00:00,1.0023441393873471,98671054.12412928,op,0.8522370013448509,0.9491266689813834,1.1037242988119829,1.2526883826669077,0.985932391118134,1.208430223255535,0.985932391118134,1.208430223255535
154,2022-11-01 00:00:00,1.0385772993197728,127932426.5247462,op,0.8469628376780037,0.9454304934676045,1.1147951367215743,1.2764944015976503,0.9858265088712358,1.2092156407558892,0.9858265088712358,1.2092156407558892
153,2022-10-31 00:00:00,1.0414152841791855,150557391.25679895,op,0.8421321826503623,0.9404331255079041,1.121192076444444,1.2870455457066177,0.9854839712709206,1.2100630061122224,0.9854839712709206,1.2100630061122224
152,2022-10-30 00:00:00,1.0818930738654906,241876483.14141622,op,0.8378244498115952,0.9342198346513455,1.1264062894355562,1.2932084790918195,0.9851184071342654,1.2110543891849743,0.9851184071342654,1.2110543891849743
151,2022-10-29 00:00:00,1.1551201521395016,258796308.5240552,op,0.8319417077081109,0.9198667646453452,1.132053763728899,1.301570285791197,0.984481731695244,1.212285808548031,0.984481731695244,1.212285808548031
150,2022-10-28 00:00:00,1.0717960319775426,239393332.00746846,op,0.8237571049770803,0.8950558999555696,1.139243176443183,1.3188405005762276,0.9833516759307126,1.2128749588242258,0.9833516759307126,1.2128749588242258
149,2022-10-27 00:00:00,1.1154857079541107,339548528.2349093,op,0.8186846015710832,0.8785828097417956,1.1476842648292256,1.3522288341019264,0.9827620468904004,1.214232856819543,0.9827620468904004,1.214232856819543
148,2022-10-26 00:00:00,0.9703282182706074,276306199.8328847,op,0.812245810835861,0.8425141624734015,1.1512241856583811,1.360109607757987,0.9818712840644696,1.215599607122668,0.9818712840644696,1.215599607122668
147,2022-10-25 00:00:00,0.843729577868855,133636451.83093427,op,0.8100450903692533,0.8262772127481016,1.1521505315876572,1.362316688474355,0.9819492777522658,1.2183935626391929,0.9819492777522658,1.2183935626391929
146,2022-10-24 00:00:00,0.8352085826848313,114282369.03019021,op,0.8125706926943618,0.8287287859148906,1.15190166004544,1.3626041768063455,0.9828895478194999,1.2204691842464304,0.9828895478194999,1.2204691842464304
145,2022-10-23 00:00:00,0.7487094323963716,68209072.78868358,op,0.8163427132736047,0.8378354698551085,1.1515392095929604,1.3616717624909704,0.9839010612793264,1.2223030922466778,0.9839010612793264,1.2223030922466778
144,2022-10-22 00:00:00,0.7319147557702889,70708972.49899349,op,0.8227734914276484,0.8499040901717853,1.1534744192019306,1.3598852029224426,0.985523072513002,1.2236524507990405,0.985523072513002,1.2236524507990405
143,2022-10-21 00:00:00,0.671864237509367,46012191.29609682,op,0.8282741660983847,0.8581837179768019,1.155764931692016,1.3563436272267584,0.9872842413792706,1.225109157119796,0.9872842413792706,1.225109157119796
142,2022-10-20 00:00:00,0.6888509412616807,53712423.35680455,op,0.836534875403297,0.8657438682852692,1.1574926216698165,1.3514890322470052,0.9894899756720672,1.226177700900352,0.9894899756720672,1.226177700900352
141,2022-10-19 00:00:00,0.7419101316689852,62967231.0345058,op,0.845503085285452,0.8767825654467217,1.1583788479136428,1.348442713081274,0.9916071519707319,1.2273919155497612,0.9916071519707319,1.2273919155497612
140,2022-10-18 00:00:00,0.7642489257407922,48195375.62964,op,0.8517226806504348,0.8829045213519806,1.1577681914250832,1.3430887978410502,0.9933780528239358,1.228681416892283,0.9933780528239358,1.228681416892283
139,2022-10-17 00:00:00,0.6987994544879578,29919359.806872066,op,0.864005384896281,0.8934117129920838,1.1572527588054753,1.3380464765516984,0.9950146894459583,1.2296275365197566,0.9950146894459583,1.2296275365197566
138,2022-10-16 00:00:00,0.686692359241862,32689725.739752024,op,0.8774699802906334,0.9072901861925811,1.1585601616996353,1.3287233048075404,0.9971457343017712,1.2302996983588885,0.9971457343017712,1.2302996983588885
137,2022-10-15 00:00:00,0.7168880133219852,44344913.96733762,op,0.8922038687380591,0.9292991075111224,1.15737486695077,1.324285049591673,0.9993953964398866,1.231052820674755,0.9993953964398866,1.231052820674755
136,2022-10-14 00:00:00,0.7356996268177477,82341153.21540806,op,0.9088351109353106,0.9498928710347162,1.1551941437911961,1.3239457159595005,1.0014574941268786,1.2320209470701025,1.0014574941268786,1.2320209470701025
135,2022-10-13 00:00:00,0.747370432232448,27978670.96417831,op,0.9236323505934732,0.9742931650793197,1.1523658467351248,1.324642968964153,1.0034115960923868,1.2337623001457774,1.0034115960923868,1.2337623001457774
134,2022-10-12 00:00:00,0.7407088422742231,58053033.9388585,op,0.940637992851671,0.993831026874442,1.1495337503351766,1.323617000372703,1.0053081973061642,1.2343428485073493,1.0053081973061642,1.2343428485073493
133,2022-10-11 00:00:00,0.7573801080058621,45035432.06026689,op,0.9625953017321772,1.016917549253016,1.146529618562928,1.3234442206253831,1.0072828193586414,1.2355684009576606,1.0072828193586414,1.2355684009576606
132,2022-10-10 00:00:00,0.8440305348270194,28258071.500077818,op,0.9837373882857013,1.046977285842433,1.1431401689292184,1.3233812089313999,1.0091617871131735,1.2364911687788693,1.0091617871131735,1.2364911687788693
131,2022-10-09 00:00:00,0.8353934031239887,31684705.546318144,op,1.0026503572099523,1.081706809753653,1.139118899588905,1.3229633292812095,1.0104127814486747,1.2369669463474897,1.0104127814486747,1.2369669463474897
130,2022-10-08 00:00:00,0.8453231498009631,45235744.17651949,op,1.0141474123110439,1.0875438173224938,1.1357722584253775,1.322674351469745,1.0117488072374128,1.237513547883264,1.0117488072374128,1.237513547883264
129,2022-10-07 00:00:00,0.8504151368098242,65563268.0466271,op,1.0250846672036091,1.0939365884296963,1.1327796023756784,1.3226745712793444,1.0130290046023087,1.2382771718618015,1.0130290046023087,1.2382771718618015
128,2022-10-06 00:00:00,0.8610791578694368,52301788.779130206,op,1.033531177784357,1.098328162838829,1.129738760453628,1.3222083339371657,1.0142895772208549,1.239374827342658,1.0142895772208549,1.239374827342658
127,2022-10-05 00:00:00,0.8726110580134039,64138787.27055813,op,1.0447103482069293,1.1041635341826042,1.1265766942181539,1.3216230709153678,1.0154865336220378,1.2402307956087102,1.0154865336220378,1.2402307956087102
126,2022-10-04 00:00:00,0.8713222715240774,68397583.58920917,op,1.0546688624047618,1.1090891611410076,1.122932076120933,1.3219335633319944,1.0166115373669877,1.241253702415735,1.0166115373669877,1.241253702415735
125,2022-10-03 00:00:00,0.8441192293819304,54265822.56298552,op,1.0654184643832452,1.114820773521357,1.1190681863623282,1.3220738781075418,1.0177646267784395,1.2423546561790715,1.0177646267784395,1.2423546561790715
124,2022-10-02 00:00:00,0.8936576484905298,48061397.198112905,op,1.07834771413286,1.1242090357286922,1.1159451777211609,1.3221880154315804,1.0191537899576115,1.2432971967257167,1.0191537899576115,1.2432971967257167
123,2022-10-01 00:00:00,0.9121832990161697,80346947.61457646,op,1.0879355572769034,1.1283955597063,1.1118011983384004,1.3225337329575595,1.020165855614604,1.2440316463621872,1.020165855614604,1.2440316463621872
122,2022-09-30 00:00:00,0.9054108107609627,81228130.73595251,op,1.0950332108781837,1.1318278960751833,1.107516068346509,1.323236157722609,1.0210437625788191,1.2452010970269296,1.0210437625788191,1.2452010970269296
121,2022-09-29 00:00:00,0.9095820702085875,104284697.50942802,op,1.1008058925324264,1.1334961708109736,1.1033714940552384,1.3233302465723258,1.0219915736592933,1.2464159963941723,1.0219915736592933,1.2464159963941723
120,2022-09-28 00:00:00,0.9196209297976241,124737213.04057764,op,1.1096383910650676,1.1398423683161563,1.0992448342626824,1.3235137084361686,1.0229205778200428,1.2479693039085882,1.0229205778200428,1.2479693039085882
119,2022-09-27 00:00:00,0.9223219858974464,84647198.83450727,op,1.1144310874870977,1.1433040003646266,1.095490070942341,1.3223737613320024,1.0237814082202297,1.2497904890420992,1.0237814082202297,1.2497904890420992
118,2022-09-26 00:00:00,0.9043066042723775,67376688.84007847,op,1.1181168409116986,1.1442374295106943,1.0911205902721033,1.321491903341748,1.024634008407816,1.2510276979314419,1.024634008407816,1.2510276979314419
117,2022-09-25 00:00:00,0.9194976476221093,73905038.80502443,op,1.1218404241813276,1.1433254895100253,1.087033085251237,1.321048430632368,1.0256537321716757,1.2520735224930568,1.0256537321716757,1.2520735224930568
116,2022-09-24 00:00:00,0.9483692000621188,150434198.93732315,op,1.130515950600457,1.147321215790846,1.0829806497222487,1.3191863097628496,1.0265610491336379,1.2531775324376608,1.0265610491336379,1.2531775324376608
115,2022-09-23 00:00:00,0.9416327770176861,174079262.80460575,op,1.1397857396444542,1.1557075904821597,1.0789066035417179,1.3179303942631102,1.0272351167980476,1.2552511377618958,1.0272351167980476,1.2552511377618958
114,2022-09-22 00:00:00,0.8969349958923728,197113508.26411465,op,1.1528345953011319,1.1717693649515495,1.075035986241418,1.3172187792263161,1.0279794849700505,1.257739614673153,1.0279794849700505,1.257739614673153
113,2022-09-21 00:00:00,0.9196855166567365,132772238.54073724,op,1.16174250976914,1.1815755111787247,1.0709020004670027,1.3201352822281325,1.0291289980321356,1.2610107099495584,1.0291289980321356,1.2610107099495584
112,2022-09-20 00:00:00,0.9578972377263342,176862959.32817352,op,1.170484218968024,1.1879954806290092,1.065809992287721,1.3210619028079453,1.0300975244159887,1.2631079136262653,1.0300975244159887,1.2631079136262653
111,2022-09-19 00:00:00,0.9284979926184671,119103288.87186418,op,1.1762473808550367,1.19299545278292,1.0608565875855698,1.3218004755248551,1.0307421698328605,1.2656265808193992,1.0307421698328605,1.2656265808193992
