,tribe,address,score,attempts
221,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:706,182,1
222,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:98,180,1
223,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:471,180,6
224,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:1,178,2
225,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:261,177,8
226,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:759,176,1
227,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:54,174,3
228,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:26,173,8
229,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:57,171,1
230,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:310,168,1
231,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:424,167,38
232,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:34,166,12
233,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:207,166,5
234,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:609,165,3
235,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:66,164,3
236,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:259,164,2
237,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:747,164,1
238,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:15,163,2
239,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:580,162,7
240,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:330,162,1
241,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:323,161,10
242,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:603,160,7
243,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:667,159,2
244,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:249,158,1
245,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:18,155,2
246,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:145,153,6
247,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:280,149,16
248,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:25,148,2
249,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:303,147,3
250,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:328,144,6
251,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:576,140,11
252,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:368,140,1
253,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:201,140,9
254,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:169,138,3
255,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:435,137,3
256,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:511,137,1
257,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:281,135,2
258,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:92,132,2
259,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:695,131,5
260,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:53,131,8
261,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:4,130,3
262,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:429,129,3
263,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:595,128,4
264,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:122,128,1
265,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:152,126,1
266,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:282,120,5
267,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:248,115,1
268,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:251,115,7
269,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:510,113,1
270,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:16,113,6
271,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:232,109,4
272,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:393,108,1
273,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:40,108,6
274,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:649,107,5
275,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:237,106,1
276,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:151,105,1
277,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:56,104,13
278,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:656,103,1
279,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:233,103,3
