,chain,pool_address,pool_name,pool_symbol,pool_assetType_mapped,pool_poolType,pool_coinNames,latest_tvl_usd,avg_daily_volume_usd,totalDailyFeesUSD,days_of_trading
80,mainnet,0x04c90c198b2eff55716079bc06d7ccc4aa4d7512,Curve.fi Factory Plain Pool: Badger Locked CVX,bveCVX-CVX-f,Other,STABLE_FACTORY,"CVX,bveCVX",930801.8914751428,31523.873803814924,12.609549521525972,179
81,mainnet,0x06364f10b501e868329afbc005b3492902d6c763,Curve.fi DAI/USDC/USDT/PAX,ypaxCrv,USD,LENDING,"PAX,ycDAI,ycUSDC,ycUSDT",275254.10868349246,33100.27784924013,13.240111139696051,179
82,mainnet,0x066b6e1e93fa7dcd3f0eb7f8bac7d5a747ce0bf9,Curve.fi Factory USD Metapool: REUSD/3Crv,REUSD3CRV-f,USD,STABLE_FACTORY,"3Crv,REUSD",19805.053433800953,514.4033512066262,0.2057613404826505,43
83,mainnet,0x06cb22615ba53e60d67bf6c341a0fd5e718e1655,Curve.fi Factory USD Metapool: FEI Metapool,FEI3CRV3CRV-f,USD,STABLE_FACTORY,"3Crv,FEI",1518095.0809346419,67177.18924414196,26.870875697656786,179
84,mainnet,0x06d39e95977349431e3d800d49c63b4d472e10fb,Curve.fi Factory Plain Pool: Tokemak tWETH/WETH,tWETH+WETH-f,ETH,STABLE_FACTORY,"WETH,tWETH",28351.672792647867,0.0,0.0,94
85,mainnet,0x071c661b4deefb59e2a3ddb20db036821eee8f4b,Curve.fi bBTC/sbtcCRV,bBTC/sbtcCRV,BTC,REGISTRY_V1,"BBTC,crvRenWSBTC",448409.4651220358,101241.92840735927,40.496771362943704,179
86,mainnet,0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,Curve.fi Factory Plain Pool: pitchFXS/FXS,pitchFXS-f,Other,STABLE_FACTORY,"FXS,pitchFXS",68743.23238795708,1558.060266797622,0.6232241067190488,35
87,mainnet,0x0ce6a5ff5217e38315f87032cf90686c96627caa,Curve.fi EURS/sEUR,eursCRV,Other,REGISTRY_V1,"EURS,sEUR",4853355.718277488,89010.7337328054,35.604293493122164,36
88,mainnet,0x0cf8327b20a159f0cd99214c5305d49e9d8207f0,Curve.fi Factory Crypto Pool: RAI/DAI-4,RAIDAI-4-f,Crypto,CRYPTO_FACTORY,"DAI,RAI",36102.50891501946,1261.9535357261632,0.5545076780864348,13
89,mainnet,0x0e9b5b092cad6f1c5e6bc7f89ffe1abb5c95f1c2,Curve.fi Factory Crypto Pool: Curve GEAR/ETH,crvGEARETH-f,Crypto,CRYPTO_FACTORY,"GEAR,WETH",1614914.4195489276,137253.6548143673,514.0584874273072,56
90,mainnet,0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1,Curve.fi USDN/3Crv,usdn3CRV,USD,REGISTRY_V1,"3Crv,USDN",1534967.858056899,275908.34809001413,110.36333923600566,179
91,mainnet,0x0fafafd3c393ead5f5129cfc7e0e12367088c473,Curve.fi Factory USD Metapool: baoUSD,baoUSD-3CRV-f,USD,STABLE_FACTORY,"3Crv,BaoUSD",1652581.5988164805,17566.732699509103,7.026693079803642,179
92,mainnet,0x1033812efec8716bbae0c19e5678698d25e26edf,Curve.fi Factory USD Metapool: SORA XSTUSD,XSTUSD3CRV-f,USD,STABLE_FACTORY,"3Crv,XSTUSD",370144.3511658587,31329.309902516667,12.531723961006668,179
93,mainnet,0x13b876c26ad6d21cb87ae459eaf6d7a1b788a113,Curve.fi Factory Crypto Pool: BADGER/FRAXBP,BADGERFRAX-f,Crypto,CRYPTO_FACTORY,"BADGER,crvFRAX",2551872.2685014247,12282.47301123474,48.25987508695785,137
